275   274   276
274   276   277
276  4687   277
274   277   268
277   278   267
277   267   268
268   267   266
267   279   278
267   279   265
267   265   266
265   266   264
264   266   285
285   286   264
286   264   287
287   264   263
264   265   263
263   265   293
265   279   293
293   279   280
293   280   282
279   278   280
278   280   281
280   282   281
293   300   282
188   293   300
263   293   188
287   263   187
187   263   188
187   188   185
187   185   218
188   185   653
188   300   653
652   651   216
216   651   283
300   282   651
282   281   283
282   283   651
300   651   652
300   652   653
218   185   217
185   208   653
185   208   217
218   217   200
217   208   200
200   208   201
208   653   658
653   652   658
652   216   658
208   658   201
658   216   201
216   283   284
200   201    78
201   216   203
216   284   203
283   284   611
 78   201    72
201    44    72
201   203    44
 44   203   207
203   284   207
284   607   207
284   611   607
 78    72    79
 79    72    80
 79    80   197
 72    44   600
600    44   207
600    58   207
 80   600    70
 80    72   600
600    58    70
207   607  3444
207  3444    58
 58  3444   612
3444  612   605
3444  605   607
611   607   610
610   607   608
607   605   608
611   621   610
621   620   610
610   620   619
610   619   608
608   619   609
608   609   606
605   608   606
