 44   6141752.67    535883.37
 58   6091693.38    562466.49
 70   6080098.03    528692.58
 72   6131221.16    506871.06
 78   6154739.34    476935.80
 79   6131543.91    484926.32
 80   6104796.74    495073.59
185   6230739.16    479354.73
187   6268879.35    459199.56
188   6255167.28    488171.05
197   6106465.86    470055.11
200   6185256.00    473018.70
201   6179197.65    516153.47
203   6176526.06    558969.49
207   6136597.92    572258.37
208   6213730.79    491347.42
216   6204045.66    551916.55
217   6212530.26    466696.98
218   6225834.69    445634.28
263   6277333.37    495846.01
264   6305808.14    487061.74
265   6300280.06    521488.13
266   6330979.98    525290.52
267   6309611.35    549716.29
268   6350073.29    549285.17
274   6377526.05    562286.80
275   6400636.06    597143.66
276   6364734.18    586922.43
277   6340039.13    578160.72
278   6308085.16    576803.43
279   6291992.46    550361.58
280   6278479.86    561448.27
281   6263599.21    596415.08
282   6248151.53    560130.33
283   6232935.08    595335.47
284   6189921.99    597957.15
285   6329880.295   478800.853
286   6310280.371   470568.722
287   6290673.985   462653.727
293   6265834.940   520850.864
300   6245650.849   521012.474
600   6110238.35    528299.83
605   6086970.95    649784.99
606   6067161.86    688867.77
607   6139198.73    648106.90
608   6114143.33    684467.43
609   6096770.18    724639.90
610   6159736.79    680256.30
611   6185860.69    650296.21
612   6067377.48    609508.36
619   6135847.45    717166.72
620   6182765.072   719777.166
621   6206557.93    689679.73
651   6226753.71    549140.48
652   6215517.597   531836.726
653   6225495.187   513150.423
658   6202046.743   524622.837
3444  6110360.661   601705.581
4687  6352585.114   621583.027
